Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
3Cnergy,502,CNER.SI,52.14,,,,Real Estate,44
8Telecom,AZG,ETEL.SI,7.96,0.802,,,Technology Equipment,57
A-Smart,BQC,ASMA.SI,31.303,5.268,,,Industrial & Commercial Services,61
A-Sonic Aero,BTJ,ASON.SI,37.424,350.799,4.43,0.59,Transportation,57
ABR,533,ABRH.SI,130.647,85.975,21.67,3.08,Food & Beverages,56
Abterra,L5I,ABTR.SI,12.897,10.819,,,Energy - Fossil Fuels,-6
Abundance Intl,541,ABUN.SI,33.321,548.552,,,Industrial & Commercial Services,65
Accordia Golf Tr,ADQU,ACCO.SI,19.146,628.093,0.94,246.77,Cyclical Consumer Services,61.3
Accrelist Ltd,QZG,ACCR.SI,10.049,118.049,,,Technology Equipment,
Ace Achieve Info,A75,ACEA.SI,5.64,37.816,,,Technology Equipment,42
Acesian Partners,5FW,ACES.SI,8.474,9.523,340,,Industrial & Commercial Services,68
Acma,AYV,ACMA.SI,2.798,62.687,,,Industrial Goods,67
Acromec,43F,ACRO.SI,11.778,23.101,,,Industrial & Commercial Services,61
Addvalue Tech,A31,AVAU.SI,47.222,10.973,22.48,,Technology Equipment,56
Advanced,BLZ,ADVA.SI,9.11,59.137,3.18,,Energy - Fossil Fuels,64
Advanced Systems,5TY,ADSA.SI,22.324,0,,,Technology Equipment,68
Advancer Global,43Q,ADVN.SI,45.425,,,7.67,Industrial & Commercial Services,80
Adventus,5EF,ADVE.SI,33.161,,,,Industrial Goods,58
Aedge Group,XVG,AEDE.SI,23.85,,,,Industrial & Commercial Services,
AEI,AWG,AEIC.SI,76.555,,,,Mineral Resources,39
AEM,AWX,AEM.SI,1132.509,518.959,11.4,2.23,Technology Equipment,89
AF Global,L38,AFGL.SI,91.841,,,,Cyclical Consumer Services,66
AGV,1A4,AGVG.SI,14.676,10.265,,,Mineral Resources,55
AIMS APAC Reit,O5RU,AIMA.SI,968.128,118.092,37.11,,Real Estate,86.3
AIMS Property,BVP,APW.AX,49.955,-4.111,,1.81,Real Estate,
Alita Resources,40F,ALIT.SI,115.54,74.855,,,Mineral Resources,48
Alliance HC,MIJ,ALLA.SI,36.38,45.089,22.61,1.94,Healthcare Services,51
Allied Tech,A13,ALLT.SI,18.993,109.363,,,Industrial Goods,71
AlphaDX,VVL,ALPH.SI,71.392,0,,,Energy - Fossil Fuels,
Alset,40V,ALSE.SI,118.513,,,,Real Estate,75
Amara,A34,AMRA.SI,230.774,,,,Cyclical Consumer Services,71
Amcorp Global,S9B,AMCO.SI,56.753,42.449,,,Real Estate,83
AMOS,RF7,AMOS.SI,41.558,119.491,,,Industrial Goods,57
Amplefield Ltd,AOF,AMPL.SI,27.919,2.282,79.49,,Real Estate,77
AMTD IB OV,HKB,,,,,,,
AnAn Intl,Y35,ANAN.SI,139.685,1594.288,44.97,,Energy - Fossil Fuels,32
Anchor Resources,43E,ANCH.SI,127.983,,,,Mineral Resources,76
Anchun Intl,BTX,ANIH.SI,11.112,19.218,,10.73,Industrial Goods,50
AnnAik,A52,AAIK.SI,16.925,,,1.75,Mineral Resources,53
Annica,5AL,ANHL.SI,16.675,10.906,,,Energy - Fossil Fuels,51
Aoxin Q & M,1D4,AOXI.SI,68.696,27.125,,,Healthcare Services,78
AP Oil,5AU,AOIL.SI,29.616,57.149,13.75,2.78,Chemicals,68
AP Strategic,5RA,ASIC.SI,17.826,0.918,,,Cyclical Consumer Services,53
APAC Realty,CLN,APAC.SI,179.375,389.429,10.91,4.95,Real Estate,56
ARA HTrust USD,XZL,ARAU.SI,289.344,78.161,,,Real Estate,66.2
ARA LOGOS Log Tr,K2LU,ARAL.SI,1071.773,117.432,21.24,,Real Estate,81.6
Arion Ent,YYB,ARIO.SI,17.745,0.885,,,Cyclical Consumer Services,
Ascendas Reit,A17U,AEMN.SI,12504.819,1049.46,25.72,4.08,Real Estate,94.4
Ascendas-iTrust,CY6U,AINT.SI,1738.609,191.672,13.25,6.24,Real Estate,84.4
Ascott Trust,HMN,ASCO.SI,3363.249,369.872,,2.68,Real Estate,
Asia Enterprises,A55,AEHL.SI,50.262,42.782,95.45,3.4,Mineral Resources,65
Asia Vets,5RE,ASIV.SI,9.938,4.323,755.56,2.94,Healthcare Services,59
AsiaMedic,505,ASIM.SI,21.273,,,,Healthcare Services,67
Asian Healthcare,1J3,ASAI.SI,86.171,16.934,28.99,0.79,Healthcare Services,80
Asian Micro,585,AMHL.SI,17.141,3.419,,,Industrial & Commercial Services,52
Asian Pay Tv Tr,S7OU,ASIA.SI,204.118,307.378,10.27,9.29,Cyclical Consumer Services,53.3
AsiaPhos,5WV,ASIP.SI,19.599,0.846,,,Mineral Resources,64
Asiatic,5CR,ATIC.SI,14.008,46.569,,,Industrial Goods,61
Asiatravel.com,5AM,ATVE.SI,12.339,94.353,,,Software & IT Services,34
ASL Marine,A04,ASLM.SI,25.271,205.442,,,Industrial Goods,86
Aspen,1F3,ASPE.SI,270.743,91.502,10.81,1.37,Real Estate,64
Aspial,A30,ASPA.SI,231.562,234.204,41.9,6.3,Real Estate,66
Astaka,42S,ASTA.SI,162.594,32.297,,,Real Estate,80
ASTI,575,ATIH.SI,23.187,56.721,13.6,73.53,Technology Equipment,74
Atlantic Nav,5UL,ATLA.SI,22.509,98.488,,,Energy - Fossil Fuels,46
AusGroup,5GJ,AUSG.SI,88.632,197.847,,,Energy - Fossil Fuels,56
Avarga,U09,AVAR.SI,313.548,1693.259,5.7,4.55,Cyclical Consumer Products,78
Avi-Tech,BKY,AVTH.SI,70.08,26.42,17.03,3.75,Technology Equipment,92
AVJennings A$,A05,AVJ.AX,217.333,205.501,38.24,1.31,Real Estate,
Axington,42U,AXIN.SI,54.267,4.533,95.78,12.11,Industrial & Commercial Services,84
Axington R,IXOR,,,,,,,
Axington R1,QPQR,,,,,,,
Ayondo,1I5,AYON.SI,23.52,0,,,Banking & Investment Services,
Azeus,BBW,AZEU.SI,56.967,32.375,17.76,2,Software & IT Services,61
Aztech Gbl,8AZ,AZTE.SI,1029.048,484.273,18.47,1.5,Industrial Goods,
B&M Hldg,CJN,BMHL.SI,22.771,1.878,,1.62,Banking & Investment Services,59
Baker Technology,BTP,BATE.SI,64.921,63.164,,,Energy - Fossil Fuels,82
Ban Leong,B26,BANL.SI,31.455,163.1,7.27,4.63,Technology Equipment,70
Banyan Tree,B58,BANY.SI,279.94,157.832,,,Cyclical Consumer Services,92
BBR,KJ5,BBRS.SI,50.33,121.595,,,Industrial & Commercial Services,78
Beng Kuang,BEZ,BENK.SI,6.21,42.667,,,Industrial & Commercial Services,75
Best World,CGN,BEST.SI,735.699,545.614,,3.99,Personal & Household Products & Services,64
Beverly JCG,VFP,BEVE.SI,15.815,5.446,,,Healthcare Services,
BH Global,BQN,BHGC.SI,109.5,53.219,34.02,,Industrial Goods,69
BHG Retail Reit,BMGU,BHGR.SI,284.004,60.561,,3.51,Real Estate,81.4
Biolidics,8YY,BIOL.SI,75.253,,,,Healthcare Services,
BlackGoldNatural,41H,BLAC.SI,17.289,12.873,,,Energy - Fossil Fuels,66
Blumont,A33,BLUM.SI,137.854,3.499,,,Industrial & Commercial Services,59
Boldtek,5VI,BOLD.SI,16.892,38.264,,,Real Estate,77
Bonvests,B28,BVHS.SI,399.509,120.588,,0.3,Cyclical Consumer Services,63
Boustead,F9D,BTSS.SI,505.068,724.116,12.25,2.97,Industrial & Commercial Services,77
Boustead Proj,AVM,BOUS.SI,339.2,357.23,31.95,0.75,Industrial & Commercial Services,85
BRC Asia,BEC,BRCA.SI,377.241,612.378,17.66,1.3,Cyclical Consumer Products,54
Broadway Ind,B69,BRWY.SI,66.54,400.673,4.68,,Industrial Goods,53
Brook Crompton,AWC,BROO.SI,22.871,,,3.1,Industrial Goods,72
Bukit Sembawang,B61,BSES.SI,1235.007,374.25,14.86,0.84,Real Estate,77
Bumitama Agri,P8Z,BUMI.SI,854.681,834.035,8.23,4.95,Food & Beverages,77
Bund Center,BTE,BCIL.SI,406.862,68.799,42.36,4.21,Real Estate,68
Camsing Hc,BAC,CAMS.SI,30.435,12.958,,,Retailers,44
Capital World,1D5,CAPI.SI,9.158,13.926,,,Real Estate,53
CapitaLand,C31,CATL.SI,19841.488,6532.572,,2.39,Real Estate,123
CapLand China T,AU8U,CAPA.SI,2086.275,210.525,,4.58,Real Estate,98.2
CapLand IntCom T,C38U,CMLT.SI,14241.903,745.209,41.85,3.28,Real Estate,110.5
Captii,AWV,CAPT.SI,12.463,,,3.21,Telecommunications Services,58
Casa,C04,CASA.SI,14.688,14.699,9.58,7.14,Cyclical Consumer Products,43
CDL HTrust,J85,CDLT.SI,1567.387,117.558,,4.37,Real Estate,85.9
CDW,BXE,CDWH.SI,66.822,149.198,31.08,5.72,Technology Equipment,85
CEI,AVV,CEII.SI,104.642,123.489,17.15,4.55,Technology Equipment,79
Centurion,OU8,CNCL.SI,290.069,128.355,16.9,,Real Estate,89
CFM,5EB,CFMH.SI,6.248,18.642,,,Industrial Goods,71
CH Offshore,C13,CHOF.SI,36.662,25.24,,,Energy - Fossil Fuels,62
Challenger,573,CHAL.SI,200.221,270.84,8.62,4.66,Retailers,73
Charisma Energy,5QT,CHAR.SI,26.179,18.08,,,Utilities,52
Chasen,5NV,CHHL.SI,23.721,103.136,,,Transportation,87
ChasWood Res,5TW,CHAS.SI,2.216,0.559,,,Cyclical Consumer Services,41
Chemical Ind,C05,CHEM.SI,54.301,61.654,10.3,2.1,Chemicals,46
Cheung Woh,C50,CHWO.SI,46.963,41.858,,3.33,Industrial Goods,69
China Aviation,G92,CNAO.SI,1004.698,14031.722,13.31,2.22,Energy - Fossil Fuels,84
China Env,5OU,CHEN.SI,30.505,1.197,,,Industrial & Commercial Services,59
China Env Res,RS1,1130.HK,162.923,70.194,,,Industrial & Commercial Services,
China Everbright,U9E,CEWL.SI,1446.211,972.303,4.15,6.71,Utilities,83
China Fishery,B0Z,CNFG.SI,265.967,650.596,,,Food & Beverages,45
China Haida,C92,CHHA.SI,1.02,6.275,,,Mineral Resources,68
China Intl,BEH,CHNA.SI,24.936,,,,Industrial & Commercial Services,59
China Mining,BHD,CMIL.SI,8.802,0.646,,,Real Estate,57
China Paper,C71,CPHL.SI,42.995,149.275,,,Applied Resources,26
China Sky Chem,E90,CSKY.SI,23.686,325.264,,,Cyclical Consumer Products,12
China Sports,FQ8,CSIL.SI,12.535,52.79,,,Cyclical Consumer Products,44
China Star Food,42W,CHIA.SI,30.939,51.937,,,Food & Beverages,48
China Yuanbang,BCD,CYBP.SI,24.295,112.88,2.28,,Real Estate,64
ChinaKangdaFood,P74,0834.HK,164.646,1812.619,,,Food & Beverages,56
ChinaKundaTech,GU5,CKUN.SI,11.058,6.662,,,Automobiles & Auto Parts,70
ChinaSunsine,QES,CHSN.SI,555.717,477.52,12.27,1.77,Chemicals,
Chip Eng Seng,C29,CESE.SI,412.009,674.633,,4,Real Estate,85
Choo Chiang,42E,CHOO.SI,49.92,,,2.92,Industrial Goods,46
Chuan Hup,C33,CHHS.SI,208.846,34.809,,4.44,Real Estate,63
CityDev,C09,CTDM.SI,7310.783,2108.426,,1,Real Estate,125
Civmec,P9D,CIVM.SI,284.978,548.256,11.24,2.7,Industrial & Commercial Services,83
Clearbridge,1H3,CLEA.SI,92.582,36.258,116.28,,Healthcare Services,70
CNMC Goldmine,5TP,CNMC.SI,93.762,31.857,,,Mineral Resources,79
Colex,567,COLX.SI,27.167,,,2.2,Industrial & Commercial Services,60
Combine Will,N0Z,CWIHx.SI,27.462,164.317,5.17,5.88,Cyclical Consumer Products,64
ComfortDelGro,C52,CMDG.SI,3878.892,3228.6,63.59,0.8,Transportation,110
Cordlife,P8A,CORD.SI,97.647,,,2.47,Healthcare Services,59
Cortina,C41,CORT.SI,377.519,430.615,10.81,2.63,Retailers,75
COSCO SHP SG,F83,COSC.SI,750.147,185.843,90.05,,Transportation,55
CosmoSteel,B9S,COSM.SI,25.846,86.757,4.9,5.62,Mineral Resources,85
Courage Inv,CIN,1145.HK,428.319,61.548,,,Transportation,
CPH,539,CIPH.SI,7.375,,,,Real Estate,59
Creative,C76,CREA.SI,206.984,103.379,,,Technology Equipment,58
CreditBureauAsia,TCU,CRED.SI,299.507,43.378,38.67,,Industrial & Commercial Services,
CromwellReit EUR,CNNU,CROM.SI,1342.392,186.972,15.46,7.26,Real Estate,95.4
CromwellReit SGD,CSFU,,,,,,,
CSC,C06,CSCH.SI,53.517,225.173,,,Industrial & Commercial Services,56
CSE Global,544,CSES.SI,294.159,502.789,10.5,4.82,Software & IT Services,78
CWX Global,594,CWXG.SI,34.337,2.456,,,Energy - Fossil Fuels,80
DairyFarm USD,D01,DAIR.SI,5709.247,10268.5,21.07,3.91,Food & Drug Retailing,
Darco Water Tech,BLR,DRWT.SI,17.734,,,,Industrial & Commercial Services,67
Dasin Retail Tr,CEDU,DASI.SI,565.294,87.476,,5.43,Real Estate,85.9
Datapulse Tech,BKW,DATA.SI,39.583,0.68,,,Technology Equipment,63
DBS,D05,DBSM.SI,74700.047,12208,16.01,3,Banking & Investment Services,123
Debao Property,BTF,DPDL.SI,9.602,71.533,,,Real Estate,40
Del Monte Pac,D03,DMPL.SI,1033.125,3073.007,11.43,,Food & Beverages,109
Delfi,P34,DELF.SI,531.667,494.804,22.81,3.67,Food & Beverages,85
Design Studio,D11,DESS.SI,21.602,114.686,,,Retailers,54
DISA,532,DISA.SI,20.077,10.365,,,Consumer Goods Conglomerates,61
Don Agro,GRQ,DONA.SI,57.104,30.996,6.46,3.05,Food & Beverages,
Dragon,MT1,DRGN.SI,1.349,2.75,,,Industrial Goods,64
Dukang,BKV,DDHL.SI,6.707,22.309,,,Food & Beverages,54
Dutech,CZ4,DTHL.SI,89.151,360.737,5.94,4,Technology Equipment,62
Duty Free Intl,5SO,DUTY.SI,98.305,102.89,,6.25,Transportation,63
Dyna-Mac,NO4,DMHL.SI,102.321,84.037,,,Industrial Goods,79
Eagle HTrust USD,LIW,EAGL.SI,119.567,69.414,,25.39,Real Estate,
EC World Reit,BWCU,ECWO.SI,597.019,109.726,38.52,7.24,Real Estate,80.3
Econ Healthcare,EHG,,,,,,,
EcoWise,5CT,ECOW.SI,32.554,50.811,30.91,,Industrial & Commercial Services,78
Edition,5HG,EDIT.SI,22.71,,,,Food & Beverages,64
Eindec,42Z,EIND.SI,7.97,,,,Industrial Goods,58
EliteComREIT GBP,MXNU,ELIE.SI,312.218,20.963,9.53,7.52,Real Estate,
Ellipsiz,BIX,ELPZ.SI,60.166,54.565,4,2.78,Technology Equipment,54
EMAS Offshore,UQ4,,,,,,,
Eneco Energy,R14,ENEC.SI,16.866,36.616,,,Transportation,38
EnGro,S44,ENGR.SI,154.774,96.934,7,1.92,Mineral Resources,88
Envictus,BQD,ETIK.SI,34.124,129.279,,,Cyclical Consumer Services,52
Enviro-Hub,L23,EHHL.SI,94.278,30.77,,,Industrial & Commercial Services,56
Epicentre,5MQ,EPHL.SI,2.822,-3.175,,,Retailers,54
ES,5RC,ESGL.SI,10.308,17.533,10.47,2.05,Industrial Goods,72
ESR-REIT,J91U,ESRR.SI,1454.406,229.924,595.59,6.23,Real Estate,86.1
ETC Singapore,1C0,EMER.SI,33.39,27.827,,,Real Estate,82
EuroSports Gbl,5G1,EURO.SI,75.525,62.321,,,Retailers,71
Excelpoint,BDF,EXCE.SI,84.525,1479.145,6.13,4.26,Technology Equipment,72
Ezion,5ME,EZHL.SI,154.518,49.798,,,Energy - Fossil Fuels,82
Ezra,5DN,EZRA.SI,31.68,700.599,,,Energy - Fossil Fuels,30
F & N,F99,FRNM.SI,2192.271,1833.501,14.8,3.31,Food & Beverages,79
Fabchem China,BFT,FBCH.SI,17.553,27.096,,,Chemicals,68
Falcon Energy,5FL,FEGL.SI,22.87,39.72,,,Energy - Fossil Fuels,50
Far East,5TJ,FAEA.SI,10.812,54.704,,1.86,Industrial Goods,68
Far East HTrust,Q5T,FAEH.SI,1237.396,83.254,,3.18,Real Estate,99.2
Far East Orchard,O10,FARE.SI,537.472,112.215,332.39,5.08,Cyclical Consumer Services,92
Federal Int,BDU,FEDL.SI,17.596,68.142,,,Energy - Fossil Fuels,83
Figtree,5F4,FIGT.SI,22.067,8.817,,4.84,Real Estate,70
First Reit,AW9U,FRET.SI,384.423,79.619,,,Real Estate,74.9
First Resources,EB5,FRLD.SI,2328.413,881.139,17.48,2.04,Food & Beverages,94
First Sponsor,ADN,FSCA.SI,1287.792,203.936,15.34,2.77,Real Estate,86
FJ Benjamin,F10,FJBN.SI,40.558,68.194,,,Retailers,53
Food Empire,F03,FEMP.SI,510.887,364.198,14.15,2.34,Food & Beverages,42
Forise Int,8A1,FOIL.SI,4.176,2.211,,,Industrial & Commercial Services,
FortressMinerals,OAJ,FORR.SI,189.986,51.465,9.94,0.95,Mineral Resources,65
Fragrance,F31,FRAG.SI,786.24,111.305,468,2.99,Cyclical Consumer Services,60
Frasers Cpt Tr,J69U,FCRT.SI,4246.275,164.377,18.58,,Real Estate,76.2
Frasers HTrust,ACV,FRHO.SI,1136.384,88.573,,2.26,Real Estate,86.3
Frasers L&C Tr,BUOU,FRAE.SI,5040.166,334.558,7.97,4.84,Real Estate,92.5
Frasers Property,TQ5,FRPL.SI,4895.107,3597.007,33.02,1.2,Real Estate,87
Frencken,E28,FREN.SI,683.156,620.616,16.02,1.88,Industrial Goods,57
FSL Trust,D8DU,FSLT.SI,155.577,64.485,18.68,46.59,Transportation,81.4
Fu Yu,F13,FUYU.SI,244.723,153.442,14.46,4.92,Industrial Goods,84
Fuji Offset,508,FOPS.SI,17.719,,,0.85,Industrial Goods,79
Full Apex,BTY,FULL.SI,17.412,203.126,,,Applied Resources,7
Fuxing China,AWK,FXCG.SI,12.24,142.808,,,Cyclical Consumer Products,54
G Invacom,QS9,GLOB.SI,27.391,137.5,7.56,,Technology Equipment,68
G K Goh,G41,GKHS.SI,334.554,135.617,710.34,1.94,Industrial & Commercial Services,61
Gallant Venture,5IG,GLVT.SI,705.289,138.19,,,Automobiles & Auto Parts,75
GCCP,41T,GCCP.SI,21.475,,,,Mineral Resources,49
GDS Global,5VP,GDSG.SI,7.392,14.282,,4.55,Cyclical Consumer Products,63
Genting Sing,G13,GENS.SI,10884.624,1063.749,160.14,1.11,Cyclical Consumer Services,83
Geo Energy Res,RE4,GEOE.SI,260.245,409.275,2.06,4.3,Energy - Fossil Fuels,93
GHY Culture,XJB,GHYC.SI,805.344,,,,Cyclical Consumer Services,
GKE,595,GKEC.SI,107.285,112.344,11.11,,Transportation,67
GL,B16,GLLI.SI,1060.17,112.606,,,Cyclical Consumer Services,60
Global Dragon,586,GLOL.SI,34.099,5.23,,,Real Estate,73
Global Inv,B73,GLNV.SI,256.853,18.766,16.87,5.37,Collective Investments,105
Global Palm Res,BLW,GPRL.SI,43.811,25.649,,,Food & Beverages,55
Global Testing,AYN,GTCL.SI,12.672,30.544,26.69,,Technology Equipment,52
Golden Agri-Res,E5H,GAGR.SI,2824.049,9443.318,65.43,2.18,Food & Beverages,81
Golden Energy,AUE,GOLD.SI,348.233,1551.257,32.24,,Energy - Fossil Fuels,70
Goodland,5PC,GLGP.SI,57.14,26.983,,1.03,Real Estate,54
